"Name","Price","Image-link","link"
"Высокие мужские носки темно-синего цвета в мелкий красный горошек",4.99,"https://markformelle.by/upload/resize_cache/iblock/455/500_666_0/vj5wd7qnaspmt4m2s46pb3eyvhnt5f6v.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/017k-2047-784-76643/"
"Высокие мужские носки джинсового цвета в тонкую полоску",4.99,"https://markformelle.by/upload/resize_cache/iblock/d71/500_666_0/njqcy0r1cx26t3wfyh78iz6ia3c4si5i.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/017k-2044-3533-76449/"
"Высокие мужские носки белого цвета с надписью ""Бродяга""",4.99,"https://markformelle.by/upload/resize_cache/iblock/b04/500_666_0/gs2sw13qo1nsz4vk5zw0j44pgi31fnly.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/107k-2123-52-78469/"
"Мужские высокие носки черного цвета с разноцветной надписью ""Хулиган""",4.99,"https://markformelle.by/upload/resize_cache/iblock/56a/500_666_0/i0to3ax0m16njaig8aqtvfm6kswmsfmm.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/107k-2126-930-78472/"
"Высокие мужские носки белого цвета с надписью ""Последние чистые носки""",4.99,"https://markformelle.by/upload/resize_cache/iblock/9d0/500_666_0/c5eqkwbicw1r818skidp3e6guwi82bis.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/107k-2124-52-78470/"
"Белые высокие носки унисекс с рисунком в азиатском стиле",6.49,"https://markformelle.by/upload/resize_cache/iblock/03c/500_666_0/xjjhn0s16czj4aii3of03hrap2irp8lb.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/559uf-2001-76796-74595/"
"Высокие белые носки унисекс с принтом на петербургскую тематику",4.99,"https://markformelle.by/upload/resize_cache/iblock/f46/500_666_0/sugs0xf9yf66am48xjhylkp8ka5sjgrr.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/559u-2111-52-78252/"
"Высокие носки унисекс в оттенке ""темно-серый меланж"" с надписью ",4.99,"https://markformelle.by/upload/resize_cache/iblock/e72/500_666_0/jbguzcl8vm34hz7yms4ccdhti1r2eh2u.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/559u-2098-5666-77368/"
"Мужские высокие носки черного цвета с ярким желтым прямоугольником",4.49,"https://markformelle.by/upload/resize_cache/iblock/d48/500_666_0/hwpph4h9ecqrkx859d9gu66v1ermoscv.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/107k-1916-56151-72484/"
"Высокие носки унисекс черного цвета с принтом на петербургскую тематику",4.99,"https://markformelle.by/upload/resize_cache/iblock/6a9/500_666_0/b3kzoknjh1hbjfwfd7wctrwj137boorb.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/559u-2113-930-78254/"
"Высокие носки унисекс черного цвета с принтом на петербургскую тематику",4.99,"https://markformelle.by/upload/resize_cache/iblock/d33/500_666_0/60xdsrpbnquaghd81tipfwxu6wt55k2b.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/559u-2112-930-78253/"
"Высокие носки унисекс белого цвета с петроградным Меркурием",4.99,"https://markformelle.by/upload/resize_cache/iblock/5eb/500_666_0/4vru6mv4qt6t7masa8c9xw7q370valho.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/559u-2110-52-78251/"
"Высокие мужские носки белого цвета со значком отключения звука",4.99,"https://markformelle.by/upload/resize_cache/iblock/d96/500_666_0/3njq41nao4miggnswf3q5ivgh5klwd0n.jpg","https://markformelle.by/catalog/muzhchinam/noski-man/mf-life/107k-2103-694-78281/"
